item,itemLabel,position,positionLabel,start,psid
Q1026465,Rebecca Kadaga,Q104668229,Deputy Prime Minister of Uganda,2021-06-21,Q1026465-552A5321-2483-4A61-9B30-186E03C4C240
Q105759549,Beatrice Akello Akori,Q113130244,Minister of State for Economic Monitoring,2022-07-21,Q105759549-B55DEA1A-4027-401E-A294-4F4E85214A63
Q24572616,Jane Aceng,Q112658314,Minister of Health of Uganda,2016-06-06,Q24572616-83068333-4980-d316-5e35-8b7edff80b31
Q4280983,Norbert Mao,Q99030163,Justice Minister of Uganda,2022-07-21,Q4280983-060471CB-46D4-4C40-B186-F56141140EB1
Q62481397,Robinah Nabbanja,Q2462330,Prime Minister of Uganda,2021-06-21,Q62481397-28a0e090-4f28-6203-5937-35b97b9563b3
Q6787393,Matia Kasaija,Q98966310,Finance Minister of Uganda,2015-03-01,Q6787393-0D3E439F-172D-4848-885F-F93660F4F239
Q84558223,Peter Ogwang,Q113130347,State Minister for Sports,2022-07-21,Q84558223-C634489F-AA08-4403-A1DC-606AB4200477
Q84702556,Denis Obua,Q113130225,Chief Cabinet Whip,2022-07-21,Q84702556-3E1A7CDE-65CA-47EB-9916-AED2CC07BC28
