item,itemLabel,position,positionLabel,startDate,endDate,psid
Q102182713,Raphael Magyezi,Q113130239,Minister of Local Government,2021-06-09,,Q102182713-3ACA5179-54DF-44FB-8273-2B5CFB53F739
Q1026465,Rebecca Kadaga,Q113130229,Minister for East African Community Affairs,2021-06-09,,Q1026465-3CB5F6C3-9265-43A6-8C51-7F6FCDA58370
Q1026465,Rebecca Kadaga,Q104668229,First Deputy Prime Minister,2021-06-21,,Q1026465-552A5321-2483-4A61-9B30-186E03C4C240
Q105759549,Beatrace Akori,Q113130244,Minister of State for Economic Monitoring,2022-07-21,,Q105759549-B55DEA1A-4027-401E-A294-4F4E85214A63
Q105883547,Victoria Rusoke,Q113130372,State Minister for Local Government,2021-06-09,,Q105883547-1ECE9E38-62A4-4FE7-8E1E-74150DC69445
Q105942528,Rose Akello,Q113130371,State Minister for Ethics and Integrity,2021-06-09,,Q105942528-E5BFAE75-EF74-43BA-879B-F46489D683B8
Q105951053,Sarah Mateke Nyirabashitsi,Q113130246,Minister of State for Youth and Children Affairs,2021-06-09,,Q105951053-3FA092D6-EDD2-48E6-89C1-0AEAB5355249
Q106337242,Hellen Asamo,Q113130357,State Minister for the Disabled,2021-06-09,,Q106337242-AEEA0627-C342-4B4B-81BB-FA5393B35C84
Q107169463,Kiryowa Kiwanuka,Q28404009,Attorney General,2021-06-09,,Q107169463-5590ECA5-2B48-429F-A814-5B986F27C71A
Q108436234,John Mulimba,Q113130362,State Minister of Foreign Affairs for Regional Affairs,2021-06-09,,Q108436234-B7F01842-CB62-4E13-B096-D9E8632AB237
Q109974085,Milly Babirye Babalanda,Q113130249,Minister of the Presidency,2021-06-09,,Q109974085-A8EBDFF2-7C08-44F6-BBBE-F05456B7C048
Q111049857,Amos Lugoloobi,Q113130340,State Minister of Finance for Planning,2021-06-09,,Q111049857-855C3A4C-8AB4-4DA3-991D-5A0571EA7FD6
Q111181361,Huda Oleru,Q113130412,State Minister for Veterans Affairs,2021-06-09,,Q111181361-F4840B79-AC0C-4439-B743-F5E6C34CF660
Q111293515,Misi Kabanda,Q113130237,Minister of Kampala Capital City Authority,2021-06-09,,Q111293515-B0ECEE01-BE89-4A0E-B86B-06C92BD7718E
Q111319472,Diana Nankunda Mutasingwa,Q113130203,Minister of State in the Office of the Vice President,2021-06-09,,Q111319472-FC4BF6A1-D82B-478F-B334-CA2727D036FC
Q111322940,Alice Kaboyo,Q113130339,State Minister for Luweero Triangle and Rwenzori Region,2021-06-09,,Q111322940-CA73D77C-FEDF-4438-87E7-1496B80CBFF3
Q111325662,Maggie Magode Ikuya,Q113130366,State Minister for East African Community Affairs,2021-06-09,,Q111325662-76EFE18C-E850-48E8-AA0F-E17F59A478D0
Q111327988,Margaret Muhanga,Q113130415,State Minister of Health for Primary Care,2021-06-09,,Q111327988-CF81FC75-7227-4AF4-9D63-8DB90F383893
Q111536412,Grace Mary Mugasa,Q113130352,State Minister for Public Service,2021-06-09,,Q111536412-6957BC15-0588-47C1-950B-0D9AAA537E0E
Q113130474,Clement Kenneth Ongalo Obote,Q113130528,State Minister for Teso Affairs,2021-06-09,,Q113130474-78CFAAE1-030A-44EC-9BB2-28064F417513
Q113130475,Francis Mwebesa,Q56241849,"Minister of Trade, Industry and Cooperatives",2021-06-09,,Q113130475-7317051C-632E-4572-B45E-B82104AA8214
Q113130476,Fred Bwiino Kyakulaga,Q113130407,State Minister for Agriculture,2021-06-09,,Q113130476-1F35B6EB-3BD7-4DE9-9231-022E9250CE2F
Q113130510,Fred Byamukama,Q113130408,State Minister for Transport,2021-06-09,,Q113130510-66D93E30-DEA0-453F-A7E5-16BD1180288A
Q113130511,Gidudu Mafaabi,Q113130409,State Minister for the Elderly,2021-06-09,,Q113130511-475ABFD5-A3CD-4EDB-9845-E35A3E059697
Q113130512,Henry Musaasizi,Q113130410,State Minister of Finance for General Duties,2021-06-09,,Q113130512-FF2A7C82-AD8F-4599-8028-A64DBCCED223
Q113130513,Kabuye Kyofatogabye,Q113130413,State Minister for Kampala Capital City Authority,2021-06-09,,Q113130513-6A8F8177-EC02-4F06-A9F5-D8E9A073454D
Q113130514,Kawoya Bangirana,Q113130414,State Minister of Health for General Duties,2021-06-09,,Q113130514-3913B19E-34D7-40AF-A995-65FF688AC25C
Q113130515,Martin Mugarra,Q113130416,State Minister for Tourism,2021-06-09,,Q113130515-D9745AAE-AE5A-43C2-B154-DA5C31682D61
Q113130517,Sam Mayanja,Q113130417,State Minister for Lands,2021-06-09,,Q113130517-258F48BC-3644-4633-8724-AD6C50C65618
